Major Group,Subgroup/Unit Group,Occupation
1351,135111,Chief Information Officer
1351,135112,ICT Project Manager
1351,135199,ICT Managers NEC
2232,223211,ICT Trainers
2611,261111,ICT Business Analyst
2611,261112,Systems Analyst
2612,261211,Multimedia Specialist
2612,261212,Web Developer
2613,261311,Analyst Programmer
2613,261312,Developer Programmer
2613,261313,Software Engineer
2613,261316,DevOps Engineer
2613,261314,Software Tester
2613,261399,Software and Application Programmer NEC
2621,262111,Database Administrator
2621,262113,Systems Administrator
2621,262112,ICT Security Specialist
2631,263111,Computer Network and Systems Engineer
2631,263112,Network Administrator
2631,263113,Network Analyst
2632,263211,ICT Quality Assurance Engineer
2632,263212,ICT Support Engineer
2632,263213,ICT Systems Test Engineer
2632,263299,ICT Support and Test Engineer NEC
3131,313113,Web Administrator
