Occupation Code,Description,Category,,c
399911,Abalone Diver,Specialisation,,
831313,Abalone Sheller,Specialisation,,
149999,Abattoir Manager,Occupation in nec category,,
422111,Aboriginal and Torres Strait Islander Education Worker,Principal Title,,
411511,Aboriginal and Torres Strait Islander Health Worker,Principal Title,,
234314,Aboriginal and Torres Strait Islander Land and Sea Ranger,Specialisation,,
272211,Aboriginal Ceremonial Celebrant,Specialisation,,
111399,Aboriginal Community Council Member,Occupation in nec category,,
241599,Aboriginal Education Teacher,Occupation in nec category,,
422111,Aboriginal Education Worker Coordinator,Specialisation,,
254499,Aboriginal Health Nurse,Occupation in nec category,,
422111,Aboriginal Home-School Liaison Officer,Specialisation,,
224912,Aboriginal Liaison Officer,Specialisation,,
452215,Abseiling Instructor,Specialisation,,
141999,Accommodation and Hospitality Managers nec,Principal Title,,
221111,Accountant (General),Principal Title,,
512299,Accounting Practice Manager,Occupation in nec category,,
551111,Accounts Clerk,Principal Title,,
551111,Accounts Payable or Receivable Clerk,Alternative Title,,
233999,Acoustic Engineer,Occupation in nec category,,
441111,Acoustic Warfare Analyst (Navy),Specialisation,,
224611,Acquisitions Librarian,Specialisation,,
711513,Acrylic Fabricator,Specialisation,,
411311,Activities Coordinator,Specialisation,,
411311,Activities Officer,Specialisation,,
211111,Actor,Principal Title,,
211199,"Actors, Dancers and Other Entertainers nec",Principal Title,,
552314,Actuarial Clerk,Specialisation,,
224111,Actuary,Principal Title,,
252211,Acupuncturist,Principal Title,,
132111,Administration Manager,Alternative Title,,
271213,Administrative Appeals Tribunal Member,Specialisation,,
111212,Admiral (Navy),Specialisation,,
542112,Admissions Clerk,Principal Title,,
253411,Adolescent Psychiatrist,Specialisation,,
242211,Adult Education Teacher,Specialisation,,
452215,Adventure Challenge Instructor,Specialisation,,
225111,Advertising Account Executive,Alternative Title,,
225111,Advertising Account Manager,Alternative Title,,
131113,Advertising Manager,Principal Title,,
225111,Advertising Specialist,Principal Title,,
312116,Aerial Survey Technician,Specialisation,,
452111,Aerobics Instructor,Specialisation,,
233911,Aeronautical Engineer,Principal Title,,
233911,Aeronautical Engineering Officer (Navy),Specialisation,,
231111,Aeroplane Pilot,Principal Title,,
312914,Aerospace Draftsperson,Specialisation,,
233911,Aerospace Engineer,Specialisation,,
233911,Aerospace Engineer Officer - Aeronautical (Air Force),Specialisation,,
233911,Aerospace Engineer Officer - Armament (Air Force),Specialisation,,
233911,Aerospace Engineer Officer - Electronics (Air Force),Specialisation,,
423111,Aged or Disabled Care Worker,Alternative Title,,
423111,Aged or Disabled Carer,Principal Title,,
234111,Agricultural Adviser,Alternative Title,,
311112,Agricultural and Agritech Technician,Principal Title,,
721111,Agricultural and Horticultural Mobile Plant Operator,Principal Title,,
234111,Agricultural Consultant,Principal Title,,
224311,Agricultural Economist,Specialisation,,
233912,Agricultural Engineer,Principal Title,,
234111,Agricultural Extension Officer,Specialisation,,
133611,Agricultural Goods Logistics Manager,Specialisation,,
234114,Agricultural Research Scientist,Principal Title,,
234114,Agricultural Scientist,Alternative Title,,
311112,Agriculture Laboratory Technician,Specialisation,,
234115,Agronomist,Principal Title,,
111212,Air Chief Marshal (Air Force),Specialisation,,
111212,Air Commodore (Air Force),Specialisation,,
139111,Air Defence Officer (Air Force) (Aus),Specialisation,,
441111,Air Dispatcher (Army),Specialisation,,
111212,Air Force Senior Officer,Alternative Title,,
111212,Air Marshal (Air Force),Specialisation,,
234313,Air Pollution Analyst,Specialisation,,
441111,Air Surveillance Operator (Air Force),Specialisation,,
231112,Air Traffic Controller,Principal Title,,
231199,Air Transport Professionals nec,Principal Title,,
111212,Air Vice Marshal (Air Force),Specialisation,,
399999,Airborne Electronics Analyst (Air Force),Occupation in nec category,,
334112,Airconditioning and Mechanical Services Plumber,Principal Title,,
342111,Airconditioning and Refrigeration Mechanic,Principal Title,,
312511,Airconditioning Drafting Officer,Specialisation,,
233512,Airconditioning Engineer,Specialisation,,
712911,Airconditioning Plant Operator,Specialisation,,
721911,Aircraft Baggage Handler and Airline Ground Crew,Principal Title,,
811211,Aircraft Cabin Cleaner,Specialisation,,
312412,Aircraft Electronics Technician,Specialisation,,
441111,Aircraft Life Support Fitter (Air Force),Specialisation,,
441111,Aircraft Life Support Fitter (Army),Specialisation,,
591211,Aircraft Load Controller,Specialisation,,
323214,Aircraft Machinist,Specialisation,,
323112,Aircraft Maintenance Engineer (Airframes),Specialisation,,
323111,Aircraft Maintenance Engineer (Avionics),Principal Title,,
323111,Aircraft Maintenance Engineer (Electrical),Specialisation,,
323112,Aircraft Maintenance Engineer (Engines),Specialisation,,
323111,Aircraft Maintenance Engineer (Instruments),Specialisation,,
323112,Aircraft Maintenance Engineer (Mechanical),Principal Title,,
323111,Aircraft Maintenance Engineer (Radio),Specialisation,,
323113,Aircraft Maintenance Engineer (Structures),Principal Title,,
231199,Aircraft Navigator,Occupation in nec category,,
733112,Aircraft Refueller,Principal Title,,
323113,"Aircraft Structural Fitter (Air Force, Army)",Specialisation,,
323112,"Aircraft Technician (Air Force, Army)",Specialisation,,
441111,Aircrewman (Navy),Specialisation,,
441111,Airfield Defence Guard (Air Force),Specialisation,,
233211,Airfield Engineer Officer (Air Force),Specialisation,,
139999,Airport Manager,Occupation in nec category,,
231199,Airworthiness Inspector,Occupation in nec category,,
442211,"Alarm, Security or Surveillance Monitor",Principal Title,,
111311,Alderman,Alternative Title,,
121399,Alpaca Farmer,Occupation in nec category,,
712311,Alumina Refinery Operator,Specialisation,,
139999,Ambassador,Occupation in nec category,,
411111,Ambulance Officer,Principal Title,,
139999,Ambulance Services Manager,Occupation in nec category,,
149111,Amusement Centre Manager,Principal Title,,
711999,Amusement Ride Operator,Occupation in nec category,,
311211,Anaesthetic Technician,Principal Title,,
253211,Anaesthetist,Principal Title,,
261311,Analyst Programmer,Principal Title,,
234211,Analytical Chemist,Specialisation,,
234599,Anatomist,Occupation in nec category,,
361199,Animal Attendants and Trainers nec,Principal Title,,
234599,Animal Behaviourist,Occupation in nec category,,
311113,Animal Husbandry Technician,Principal Title,,
599599,Animal Management Officer,Occupation in nec category,,
361311,Animal Nurse,Alternative Title,,
234115,Animal Nutritionist,Specialisation,,
361199,Animal Trainer,Occupation in nec category,,
361199,Animal Welfare Officer,Occupation in nec category,,
232412,Animator,Specialisation,,
322112,Anodiser,Specialisation,,
272499,Anthropologist,Occupation in nec category,,
142112,Antique Dealer,Principal Title,,
121311,Apiarist,Principal Title,,
393211,Apparel Cutter,Principal Title,,
261312,Applications Developer,Alternative Title,,
313199,Applications Packager,Occupation in nec category,,
452413,Apprentice Jockey,Specialisation,,
